antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
CUSCUZ,CAFE,0.19718309859154928,0.5737089201877934,0.1295774647887324,0.6571428571428571,1.1454290390460604,0.016451762216491445,1.2433489827856026
MARGARINA COM OU SEM SAL,CAFE,0.4892018779342723,0.5737089201877934,0.3089201877934272,0.6314779270633397,1.1006939317879818,0.028260706649915146,1.1567586071987481
PAO DE SAL,CAFE,0.18403755868544602,0.5737089201877934,0.11549295774647887,0.6275510204081632,1.0938491599585825,0.00990896867905397,1.1445623512766094
PAO FRANCES,CAFE,0.3323943661971831,0.5737089201877934,0.20938967136150236,0.6299435028248588,1.0980193625343284,0.018692058454010452,1.1519621546070316
CUSCUZ,CAFE COM LEITE,0.19718309859154928,0.5887323943661972,0.12488262910798122,0.6333333333333333,1.0757575757575757,0.008794551345632479,1.1216389244558258
MARGARINA COM OU SEM SAL,CAFE COM LEITE,0.4892018779342723,0.5887323943661972,0.336150234741784,0.6871401151631478,1.1671518702531936,0.04814124181709978,1.3145424695411734
PAO DE SAL,CAFE COM LEITE,0.18403755868544602,0.5887323943661972,0.13145539906103287,0.7142857142857143,1.2132604237867397,0.023106526482840714,1.43943661971831
PAO FRANCES,CAFE COM LEITE,0.3323943661971831,0.5887323943661972,0.22347417840375586,0.6723163841807909,1.1419728056659366,0.027782847318653686,1.2550752792617772
PAO DE SAL,MARGARINA COM OU SEM SAL,0.18403755868544602,0.4892018779342723,0.14460093896713616,0.7857142857142857,1.6061146147518508,0.05456941964777713,2.3837245696400626
PAO FRANCES,MARGARINA COM OU SEM SAL,0.3323943661971831,0.4892018779342723,0.27699530516431925,0.8333333333333334,1.7034548944337813,0.11438735700588509,3.064788732394367
"AGUA, BISCOITO SALGADO",ACUCAR,0.15211267605633802,0.7924882629107981,0.1323943661971831,0.8703703703703703,1.0982754081095314,0.011846855782582821,1.600804828973843
"BISCOITO SALGADO, ACUCAR",AGUA,0.16338028169014085,0.8093896713615023,0.1323943661971831,0.8103448275862069,1.0011800944075526,0.00015605369305030092,1.005036278275715
"AGUA, BOLACHA SALGADA",ACUCAR,0.11549295774647887,0.7924882629107981,0.10234741784037558,0.8861788617886178,1.1182233267830308,0.010820604377438342,1.8231388329979872
